"RelativePath","Bytes","ReferenceSha256","ImportedSha256","Match"
"libraries/rawkit/camera_data/Sony/ILCE-6600.toml","93","3BC3D77DC4AD0444DD9D7AA19E8DF9296804047B2532445562F1662872C5C4A4","3BC3D77DC4AD0444DD9D7AA19E8DF9296804047B2532445562F1662872C5C4A4","True"
"libraries/rawkit/camera_data/Sony/ILCE-6700.toml","93","8A6F9670CC095A35C4090D859D9B1AE4BDCDC3AD5CCAAC327178740F59B4E81B","8A6F9670CC095A35C4090D859D9B1AE4BDCDC3AD5CCAAC327178740F59B4E81B","True"
"libraries/rawkit/camera_data/Sony/ILCE-7CM2.toml","93","0F99395FDA44A334C003D36575DD3650B3A6AFC84F84999A8A170E861963FE9D","0F99395FDA44A334C003D36575DD3650B3A6AFC84F84999A8A170E861963FE9D","True"
"libraries/rawkit/camera_data/Sony/ILCE-7CR.toml","93","C3ED312D68CD6A3C4E88B310EC7F6EEBC8D2A271D60D0D0713D02A5F3829E25C","C3ED312D68CD6A3C4E88B310EC7F6EEBC8D2A271D60D0D0713D02A5F3829E25C","True"
"libraries/rawkit/camera_data/Sony/ILCE-7M2.toml","93","85C8084723A0A8796CDB2D61008F942470F9B53F560B4A91456391A15F44748B","85C8084723A0A8796CDB2D61008F942470F9B53F560B4A91456391A15F44748B","True"
"libraries/rawkit/camera_data/Sony/ILCE-7M3.toml","93","B2D1AB506E2DB5741F12C62B9EF24DCE9AAD366BAF808AB32EDECA554F90968C","B2D1AB506E2DB5741F12C62B9EF24DCE9AAD366BAF808AB32EDECA554F90968C","True"
"libraries/rawkit/camera_data/Sony/ILCE-7RM3.toml","93","B198483DE6D8445DC6C00BFB828A704DAE67798E07D428262149219BEAF308FB","B198483DE6D8445DC6C00BFB828A704DAE67798E07D428262149219BEAF308FB","True"
"libraries/rawkit/camera_data/Sony/ILCE-7RM4.toml","93","D6A7F5D73E37E55C8B8FF7C1E49D8EE85FC34A8667EF30C8E5333E602239045B","D6A7F5D73E37E55C8B8FF7C1E49D8EE85FC34A8667EF30C8E5333E602239045B","True"
"libraries/rawkit/camera_data/Sony/ILCE-7RM5.toml","93","C3ED312D68CD6A3C4E88B310EC7F6EEBC8D2A271D60D0D0713D02A5F3829E25C","C3ED312D68CD6A3C4E88B310EC7F6EEBC8D2A271D60D0D0713D02A5F3829E25C","True"
"libraries/rawkit/camera_data/Sony/ILCE-7SM2.toml","93","E67228862E79C6D9A29DD9B56D6124FA310B6AA6ED03CC8905062B0FC204BEC4","E67228862E79C6D9A29DD9B56D6124FA310B6AA6ED03CC8905062B0FC204BEC4","True"
